Seq. ID,ATE20 (m),AVE (m/s),RTE (m)
1,0.90607,0.46287,2.0001
2,0.61742,0.38908,1.32218
3,1.19592,0.33485,1.54187
4,0.57649,0.44755,1.11321
5,0.61878,0.33061,1.28544
6,0.73541,0.09603,0.77934
7,0.75222,0.27976,1.12849
8,0.49751,0.04662,0.29547
9,0.65391,0.29432,0.93049
10,1.22575,0.09594,0.79659
11,1.05867,0.8756,2.10907
12,1.62821,0.79814,3.7803
13,0.20789,0.04013,0.17189
14,0.72668,0.39054,1.30649
15,1.5817,0.1039,0.59965
16,0.20071,0.04079,0.24083
17,0.89054,0.46433,1.99529
18,1.37861,0.522,2.47726
19,0.4714,0.35824,1.07951
20,0.17289,0.05413,0.35479
21,0.6538,0.32065,1.04075
22,0.83339,0.52169,1.54221
23,1.18363,0.39499,2.1586
24,0.76515,0.05236,0.28821
25,0.20356,0.04591,0.17133
26,0.48847,0.07593,0.29734
27,0.5276,0.06726,0.31081
28,1.063,0.34706,1.63518
29,5.37036,4.21979,23.67918
30,4.62662,2.08691,9.67053
31,0.7661,0.44882,1.72566
32,0.21466,0.07846,0.21385
33,0.36105,0.06557,0.31768
34,1.00683,0.31972,1.35898
35,1.19562,0.4417,1.82307
36,1.12556,0.49464,2.05399
37,1.90499,1.76864,8.07378
38,2.04401,1.84025,8.30181
39,0.61197,0.26901,1.00021
40,1.29564,0.52875,2.48631
41,1.24569,0.67094,2.41735
42,0.33611,0.08096,0.30748
43,0.85759,0.3427,1.41495
44,0.24174,0.05692,0.31958
45,0.1682,0.05913,0.18367
46,0.37834,0.07348,0.29218
47,0.95432,0.39008,1.47221
48,0.31091,0.01725,0.14202
49,0.66176,0.35958,1.10919
50,0.7538,0.20735,0.89225
51,0.20749,0.06846,0.20223
52,0.21818,0.07151,0.23025
53,0.42403,0.28261,0.54715
54,0.28109,0.07707,0.27401
55,1.81809,0.68026,3.57107
56,4.42014,3.70806,20.97638
57,1.03994,0.55836,2.33735
58,0.22008,0.05836,0.25452
59,0.23523,0.07768,0.21232
60,0.23458,0.0786,0.27077
61,1.14606,0.41846,1.54381
62,0.06048,0.02195,0.06428
63,0.55125,0.07936,0.39839
64,0.51411,0.06511,0.30961
65,0.12236,0.07011,0.14629
66,2.01865,0.22954,1.57775
67,0.20023,0.05045,0.25218
68,0.6325,0.05776,0.242
69,0.76986,0.10225,0.51305
70,0.53579,0.08543,0.31008
71,0.33642,0.07879,0.28106
72,1.09804,0.7114,2.01293
73,0.47985,0.1254,0.46892
74,0.54156,0.31896,0.88088
75,0.49605,0.44014,1.07911
76,0.28213,0.07464,0.23982
77,1.41516,0.80575,2.80928
78,0.23073,0.03606,0.11274
79,0.43558,0.1893,0.80059
80,1.58461,0.59999,3.2048
81,0.6912,0.129,0.49341
82,1.24878,0.24762,1.29697
83,0.50347,0.07997,0.3608
84,0.62191,0.06804,0.39056
85,0.16547,0.04806,0.1765
86,0.63062,0.03627,0.23821
87,0.72561,0.22959,0.99363
88,1.2151,0.63446,2.444
89,0.19714,0.03511,0.12275
